loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second
4.9437,17.988122940063477,4.833667557932264e-06,1.0,1496,4.682340621948242,0.06212424849699399,0.01189975440043019,0.006645287205989293,0.06212424849699399,42.814,34.965,8.759
4.4032,19.842836380004883,4.667000891265598e-06,2.0,2992,4.175928115844727,0.1342685370741483,0.05427891440804597,0.04068332572413619,0.1342685370741483,43.3501,34.533,8.65
3.9311,19.644805908203125,4.500445632798575e-06,3.0,4488,3.731863498687744,0.23981295925183702,0.14965528202138753,0.14465676639516964,0.23981295925183702,42.9269,34.873,8.736
3.5195,27.010543823242188,4.333778966131908e-06,4.0,5984,3.413257598876953,0.2859051436205745,0.18517559352583554,0.15200489058984976,0.2859051436205745,43.4023,34.491,8.64
3.1727,27.88735008239746,4.167223707664885e-06,5.0,7480,3.1594350337982178,0.32331329325317304,0.22242798535689992,0.18957001631388568,0.32331329325317304,42.8042,34.973,8.761
2.8901,23.90736961364746,4.000668449197862e-06,6.0,8976,2.963249683380127,0.3527054108216433,0.25680943849906235,0.22446121090345877,0.3527054108216433,42.8672,34.922,8.748
2.6561,28.492053985595703,3.834113190730838e-06,7.0,10472,2.8411009311676025,0.37808951235804944,0.28437911145764316,0.24562338154684593,0.37808951235804944,43.0218,34.796,8.717
2.4436,37.71800994873047,3.6674465240641717e-06,8.0,11968,2.7474825382232666,0.39412157648630597,0.30516731979992673,0.2973651257903228,0.39412157648630597,42.7939,34.982,8.763
2.2653,22.940021514892578,3.5008912655971483e-06,9.0,13464,2.6812117099761963,0.4061456245824983,0.3223685238186084,0.3127592631065985,0.4061456245824983,42.8498,34.936,8.751
2.1254,21.986648559570312,3.3342245989304816e-06,10.0,14960,2.628643035888672,0.42150968603874417,0.3405265598220145,0.3355278863320558,0.42150968603874417,42.9154,34.883,8.738
1.9708,48.17926025390625,3.1676693404634582e-06,11.0,16456,2.576967716217041,0.42618570474281897,0.3561115163898566,0.34098190323537664,0.42618570474281897,42.8297,34.952,8.756
1.851,40.10263442993164,3.0011140819964353e-06,12.0,17952,2.567714214324951,0.4422177688710755,0.3722250079565753,0.36135823588420646,0.4422177688710755,42.8344,34.949,8.755
1.736,76.1368179321289,2.8344474153297686e-06,13.0,19448,2.5610852241516113,0.4415497661990648,0.3799859548606605,0.3698098870552383,0.4415497661990648,42.4162,35.293,8.841
1.6411,38.330997467041016,2.6678921568627452e-06,14.0,20944,2.558108329772949,0.45691382765531063,0.39528665622410214,0.38390329138429313,0.45691382765531063,42.7607,35.009,8.77
1.54,22.31467628479004,2.501336898395722e-06,15.0,22440,2.5204732418060303,0.46693386773547096,0.4047899746764018,0.3864772547355761,0.46693386773547096,42.5986,35.142,8.803
1.4536,60.892974853515625,2.334670231729055e-06,16.0,23936,2.526716709136963,0.4622578490313961,0.4060910888900428,0.38524874031532985,0.4622578490313961,42.4406,35.273,8.836
1.3716,31.069015502929688,2.1680035650623886e-06,17.0,25432,2.5594589710235596,0.47160988643954577,0.41914243417961733,0.40827039714656127,0.47160988643954577,42.4684,35.25,8.83
1.2963,38.1115608215332,2.0014483065953656e-06,18.0,26928,2.5577614307403564,0.47027388109552437,0.41437109060484467,0.3967355611350373,0.47027388109552437,42.4708,35.248,8.83
1.2308,51.036537170410156,1.8347816399286988e-06,19.0,28424,2.567379951477051,0.47762191048764197,0.42710957353006707,0.4124452398411103,0.47762191048764197,42.8779,34.913,8.746
1.172,39.08258056640625,1.6682263814616756e-06,20.0,29920,2.5914459228515625,0.48363393453573816,0.4325914128275747,0.41885646194904746,0.48363393453573816,42.9172,34.881,8.738
1.1143,26.808320999145508,1.501559714795009e-06,21.0,31416,2.584939479827881,0.48563794255177023,0.4419624239877617,0.42903282917937136,0.48563794255177023,42.4759,35.244,8.829
1.0651,59.51136016845703,1.335004456327986e-06,22.0,32912,2.601126194000244,0.48563794255177023,0.43665958130492905,0.41922891082105457,0.48563794255177023,42.8207,34.96,8.757
1.0223,32.896209716796875,1.1683377896613191e-06,23.0,34408,2.6223227977752686,0.48229792919171677,0.43791578935313136,0.4201037692516731,0.48229792919171677,42.8587,34.929,8.75
0.9755,43.76526641845703,1.001782531194296e-06,24.0,35904,2.643862247467041,0.48964595858383436,0.4421791509820536,0.4212796359312306,0.48964595858383436,42.8436,34.941,8.753
0.9469,27.788543701171875,8.351158645276293e-07,25.0,37400,2.6678988933563232,0.4849699398797595,0.4410701947611273,0.4239521185442809,0.4849699398797595,42.8334,34.949,8.755
0.9107,33.43873977661133,6.684491978609627e-07,26.0,38896,2.6634976863861084,0.5016700066800267,0.4576662525844799,0.4391322687677263,0.5016700066800267,42.441,35.272,8.836
0.8814,69.016845703125,5.018939393939394e-07,27.0,40392,2.670901298522949,0.49899799599198397,0.45712773917897087,0.4410309821295255,0.49899799599198397,42.8347,34.948,8.755
0.8752,84.67385864257812,3.352272727272728e-07,28.0,41888,2.6673026084899902,0.4956579826319305,0.45390928818881315,0.4375062725320216,0.4956579826319305,43.1036,34.73,8.7
0.8548,25.179073333740234,1.686720142602496e-07,29.0,43384,2.6816306114196777,0.49298597194388777,0.4507665695846072,0.43256335310549826,0.49298597194388777,42.5746,35.162,8.808
